"","AFAP1","AFF4","AGAP1","AGO3","AGPS","AHDC1","AKAP11","ALPK2","AMOTL1","ANKH","ANKRD52","ARL10","ASCC3","BRCA2","BSN","BUB3","Blank.1","Blank.10","Blank.2","Blank.3","Blank.4","Blank.5","Blank.6","Blank.7","Blank.8","Blank.9","C14orf132","C17orf51","CBL","CBX5","CCDC113","CDYL2","CEMIP","CENPF","CEP250","CHST3","CKAP5","CNR2","COL5A1","CREBBP","CRTAP","DIEXF","DIP2B","DNAJC13","DOPEY1","DSEL","DYNC1H1","EGFR","FAF2","FAM184B","FAM208B","FASN","FBN1","FBN2","FYCO1","FZD4","FZD5","GPR107","GTF3C4","HEATR5B","HERC2","IGF2R","IL17RA","ITPR2","KIAA1147","KIAA1462","KIF13B","KLHL9","KPNA4","LMTK2","LRP1","LUZP1","MALAT1","MAN1A2","MCF2L","MED14","MYH10","NHSL2","NKTR","NOTCH2","NRIP1","PAPPA","PHIP","PIK3CA","PLXNA1","PLXNA2","POLQ","PRDM2","PRKCA","PRKDC","PROSER1","PRPF8","PRRC2B","PTPN14","RAB3B","RAD51D","RBM20","RNF152","RNF169","RP4.671O14.6","SAMD12","SCUBE3","SIPA1L3","SKP1","SLC35B4","SLC38A1","SLC5A3","SLC7A11","SLC9A2","SMARCA5","SMIM5","SOD2","SPTBN1","SRRM2","SSH1","STARD9","SULT1C2","THBS1","THSD4","TLN1","TMOD2","TNRC6A","TPR","TSPAN3","TSTD2","TTPAL","UBR2","UBR5","UMPS","USP24","USP34","USP8","USP9X","VPS13D","XDH","XKR5","YIPF4","ZBTB43","ZCCHC6","ZNF592"
"40.0248172804532 x 434.6073796034",6,2,3,1,2,5,4,2,6,2,9,2,3,4,0,1,4,3,2,3,2,1,5,1,3,1,1,2,3,9,2,4,5,12,2,6,9,3,10,11,11,2,3,3,2,2,10,3,5,5,6,8,4,9,1,8,0,5,4,7,5,5,2,3,5,2,5,5,7,11,7,1,30,7,4,4,10,3,4,4,5,0,3,1,5,3,6,4,11,15,5,13,4,5,3,4,2,3,6,2,1,2,3,1,6,3,3,6,2,3,0,6,29,13,8,4,6,24,3,14,0,3,5,4,6,3,1,5,5,2,8,3,13,5,4,2,6,6,4,6
"39.9497664294684 x 301.531490163248",5,26,16,11,14,15,16,12,27,8,23,14,23,15,16,17,1,16,4,7,6,9,11,15,5,8,12,24,21,20,6,22,9,9,12,23,14,8,30,19,21,7,24,13,6,7,41,18,9,13,11,36,11,39,9,17,15,13,20,10,28,16,12,7,15,15,22,20,7,19,33,20,105,15,8,19,16,18,23,20,9,4,18,13,28,10,8,24,22,36,11,16,29,19,10,14,14,8,13,14,14,9,9,6,13,12,27,17,13,30,12,26,35,58,10,12,14,60,9,40,4,20,13,12,11,6,9,27,8,13,26,18,38,18,14,10,6,8,27,8
"37.9869863301788 x 479.883596214512",5,9,12,2,6,8,8,4,11,4,9,5,2,3,2,3,1,0,3,3,0,2,6,2,5,1,11,5,7,11,3,4,3,8,4,6,7,9,8,14,9,6,2,9,2,3,15,6,5,2,9,14,4,16,3,2,5,7,9,3,8,10,4,5,10,6,15,6,2,10,8,11,33,3,4,4,9,5,5,7,8,2,2,7,5,4,7,9,6,24,5,10,6,8,5,3,2,5,5,6,3,4,5,6,8,1,1,7,8,12,3,9,32,36,3,4,5,21,6,16,2,4,10,3,8,4,6,10,2,7,14,3,17,6,2,5,2,5,1,9
"59.6754728506787 x 454.875271493214",10,11,11,2,10,18,10,8,17,6,19,4,5,7,4,9,0,5,5,8,4,2,7,3,3,2,4,7,4,9,4,11,5,14,11,9,20,11,15,21,4,8,9,12,3,9,18,0,8,6,9,21,8,18,2,5,5,25,17,7,14,8,8,2,8,6,11,3,6,15,6,7,46,12,3,13,23,7,3,10,13,5,12,6,11,1,8,14,7,33,8,30,14,11,10,5,4,3,10,9,11,5,11,8,3,4,9,7,3,12,5,4,24,38,7,4,2,19,7,39,2,9,13,3,4,4,2,9,4,8,13,11,18,8,7,4,7,5,9,10
"66.0656200716846 x 385.984752688172",10,13,10,6,8,11,6,9,20,2,18,9,12,7,4,8,5,3,4,5,8,7,4,8,7,5,8,9,10,16,7,11,2,11,11,20,15,11,14,21,12,7,12,5,7,13,18,7,10,6,10,22,3,12,8,18,5,11,10,17,9,13,3,6,12,6,8,7,11,6,8,11,28,3,3,8,16,8,7,15,8,2,7,7,13,4,7,13,8,44,7,25,13,19,8,14,6,4,12,4,4,6,17,3,4,4,8,5,6,12,3,9,32,28,2,11,5,22,2,29,3,14,9,5,7,7,8,10,6,5,10,7,21,12,12,7,4,8,13,14
"68.1993419037199 x 487.695771334793",13,17,8,6,20,25,11,7,27,7,29,11,16,4,7,3,6,8,7,7,6,2,5,3,4,2,8,15,12,28,5,7,3,31,10,9,40,11,22,28,10,11,15,10,5,7,17,12,16,5,7,21,6,41,10,13,8,17,13,10,15,13,4,7,14,6,12,5,13,23,6,12,64,13,3,14,25,7,15,15,15,10,5,8,5,10,13,12,27,45,10,32,19,14,12,10,5,11,6,8,5,2,8,4,9,20,11,13,5,27,10,8,45,38,6,8,6,29,6,35,6,12,12,6,14,14,5,24,9,11,15,8,32,15,9,5,3,5,5,16
"62.7052541493776 x 414.237126556017",7,6,10,4,9,9,4,4,5,5,16,7,9,9,4,3,1,6,0,1,1,4,5,2,1,4,3,7,5,21,3,3,5,7,8,9,5,5,6,17,5,8,5,5,3,2,12,4,9,4,5,26,3,11,4,9,6,10,7,5,9,4,9,3,4,2,8,0,5,5,5,5,40,4,3,4,10,4,6,3,4,5,4,0,7,2,2,14,6,23,6,21,13,14,4,7,1,6,8,5,4,3,4,2,4,2,6,3,0,9,4,5,23,21,3,5,3,35,6,29,3,5,7,8,3,10,8,14,4,5,10,4,12,3,5,4,4,4,4,8
"78.438421818182 x 340.693447272727",19,32,20,19,19,25,19,12,21,5,33,5,19,10,12,8,4,9,5,5,2,12,20,9,8,6,6,10,17,35,10,24,6,36,12,21,48,17,31,37,22,11,22,18,9,9,38,14,15,12,7,52,8,52,10,27,17,17,22,9,28,11,14,8,9,13,18,9,16,38,29,15,122,17,6,21,32,17,17,31,11,8,20,17,35,9,9,36,18,57,23,49,27,25,11,17,15,13,13,12,7,13,14,10,7,11,13,23,6,30,10,6,57,63,11,11,12,86,10,69,7,11,40,9,14,14,18,16,13,10,30,14,31,15,13,16,16,10,15,14
"80.1004981583793 x 433.563720073665",6,10,5,3,3,11,14,7,8,5,18,8,12,3,4,6,4,2,2,3,5,5,2,3,7,3,9,11,9,15,3,1,4,2,4,14,6,6,13,26,8,8,13,6,3,2,18,6,6,3,8,14,5,17,6,5,4,13,9,7,12,8,9,3,7,5,4,4,6,12,4,5,36,6,2,6,10,4,8,9,6,5,4,5,13,3,3,8,14,20,6,18,15,12,8,6,7,7,4,3,2,8,4,4,4,4,3,2,4,12,8,5,20,20,6,2,8,15,4,24,3,5,6,3,11,7,7,16,13,9,14,7,10,5,9,3,4,8,5,12
"98.7161620076238 x 463.979853875476",14,15,10,10,10,11,7,9,28,5,28,8,15,8,5,7,3,4,6,5,8,5,5,5,8,2,10,10,11,34,2,9,7,20,6,13,24,10,19,27,10,7,12,10,5,6,23,7,10,6,12,15,5,23,12,10,14,8,16,8,10,13,7,8,8,3,8,10,6,15,5,8,43,12,5,8,15,4,9,12,11,6,11,7,13,4,16,14,13,51,10,36,23,16,13,11,4,7,11,2,6,7,5,2,4,10,9,6,2,9,8,8,46,26,13,10,8,39,4,27,2,13,12,4,6,14,7,14,4,7,15,8,25,11,6,8,2,6,6,5
"101.879622058824 x 407.098625",8,6,14,3,15,12,15,12,11,6,20,4,5,2,6,3,5,6,2,1,5,5,11,4,2,1,8,8,12,28,1,6,11,13,12,20,18,16,24,20,5,9,6,6,7,7,25,5,7,5,10,21,4,17,4,7,4,10,13,7,18,8,10,2,7,5,4,3,12,11,6,11,51,2,1,8,22,10,11,16,19,5,9,5,15,3,4,12,8,29,11,22,16,9,10,7,5,6,16,3,3,9,7,6,4,10,7,6,5,12,8,7,48,25,0,4,4,27,2,18,4,8,10,5,10,15,3,12,4,8,12,8,14,6,3,6,3,2,8,15
"111.606791823899 x 381.665528301887",17,11,9,7,16,19,9,9,13,3,26,6,8,10,4,8,5,5,0,6,4,8,8,4,7,4,9,8,11,17,2,7,5,29,7,16,43,14,10,18,11,6,12,7,7,6,21,7,10,9,7,46,13,10,11,13,13,6,14,11,12,7,4,2,11,5,6,7,9,8,11,14,44,3,1,10,13,12,6,20,9,2,10,11,10,3,8,9,7,26,11,42,14,12,8,5,8,9,13,7,4,11,6,2,2,1,6,14,2,16,7,7,60,61,7,6,10,48,5,34,4,16,14,10,6,16,7,11,4,10,13,10,25,4,6,8,5,4,9,8
"112.946467863894 x 437.205189035916",6,6,3,7,4,10,8,12,18,3,17,6,5,2,1,4,3,6,5,4,9,4,4,2,3,2,5,9,8,16,7,5,6,3,7,7,8,11,12,21,9,5,13,7,8,5,17,8,6,3,7,9,1,26,4,8,6,4,8,11,12,5,4,2,4,2,4,5,5,5,10,3,35,12,3,4,12,3,5,13,3,6,3,8,1,4,9,7,18,19,5,20,9,14,8,5,1,6,5,1,1,2,5,2,2,3,5,6,3,9,6,3,30,14,3,7,2,45,2,26,4,3,7,3,16,7,5,9,8,6,10,6,17,7,6,7,4,2,6,5
"120.252009944751 x 340.710548802946",10,22,15,11,15,25,22,6,21,12,45,1,21,12,15,15,5,9,3,6,2,18,11,5,11,2,11,11,14,38,6,10,19,90,15,30,45,13,15,46,15,7,36,14,17,13,42,17,13,11,18,62,9,38,5,15,13,12,40,12,20,4,5,11,18,11,8,18,19,23,10,18,112,16,5,23,30,15,16,26,15,13,25,15,22,9,11,20,12,50,17,64,26,23,16,9,15,12,15,6,8,5,6,4,9,11,16,18,14,33,10,18,84,49,15,6,7,62,17,61,5,25,19,11,17,13,11,19,14,10,38,15,38,16,11,14,12,14,22,23
"116.153974003466 x 489.450860774118",13,13,16,11,26,18,9,8,6,5,16,11,7,11,12,5,5,6,6,13,8,9,10,3,8,4,9,5,5,13,3,10,8,35,6,14,21,9,21,26,12,11,19,9,5,8,19,8,6,10,17,23,12,23,10,16,9,14,19,10,15,12,11,9,11,15,9,8,13,10,10,11,62,19,6,7,22,6,10,11,3,8,10,2,11,5,7,16,21,13,9,16,10,14,9,13,8,8,16,10,10,8,7,4,7,8,10,11,9,20,4,7,26,33,12,17,9,63,6,24,2,21,19,8,6,14,9,18,8,15,20,7,24,10,13,10,8,9,12,13
"134.137447320891 x 442.044075857917",9,20,9,6,17,7,9,15,17,4,17,7,16,9,7,8,6,7,9,5,3,3,11,2,7,1,4,10,10,22,2,8,6,60,7,18,24,7,15,33,15,9,21,12,10,8,21,3,8,14,10,18,10,10,6,16,10,14,18,11,13,8,10,5,14,9,6,4,12,10,5,8,86,12,1,14,17,11,8,18,8,3,9,9,11,3,12,27,18,30,7,22,13,13,14,8,5,8,16,3,6,7,6,3,3,9,4,12,3,13,4,2,33,34,8,7,3,19,10,42,3,7,15,11,8,6,9,28,11,7,23,3,18,13,7,8,7,8,10,20
"149.139109131403 x 382.567928730512",7,14,10,7,9,14,12,3,8,6,18,6,5,6,5,4,5,4,6,4,5,4,10,9,4,5,4,12,10,23,2,7,6,17,8,17,31,10,18,15,9,5,13,6,5,8,16,6,6,9,9,27,4,18,6,7,8,7,9,9,12,7,9,3,9,6,6,8,7,10,9,12,34,5,0,14,17,2,10,18,9,2,5,6,10,1,2,9,6,38,3,23,8,9,4,6,4,4,7,4,4,4,5,2,2,4,8,9,10,19,5,4,57,33,6,3,6,57,3,31,3,10,8,9,8,7,7,16,3,7,11,6,18,4,6,6,8,5,6,12
"148.225796178344 x 415.953477707006",3,10,6,3,3,6,7,4,5,2,9,3,3,3,3,4,3,6,1,1,4,0,8,4,7,1,2,2,11,6,5,6,8,26,6,13,14,8,6,10,4,3,9,5,4,6,5,2,3,4,3,9,3,6,5,5,2,4,10,4,9,2,3,0,3,4,2,5,5,2,0,1,85,1,1,6,12,2,6,8,3,3,4,5,1,3,2,6,8,12,2,5,6,5,2,7,3,8,13,0,2,9,4,3,3,4,3,2,2,6,3,5,10,16,4,3,0,11,6,7,3,8,7,3,3,7,2,6,7,3,4,3,3,7,5,2,3,2,11,10
"151.010881336406 x 497.377834101382",4,10,14,5,16,17,12,5,17,5,18,10,7,13,8,7,4,8,4,4,7,3,8,3,4,1,7,8,8,33,2,12,3,54,13,20,33,5,18,33,14,7,23,4,4,8,21,9,18,7,3,19,9,18,10,12,8,14,12,6,15,8,7,7,8,11,15,6,9,12,12,14,72,14,0,10,24,6,12,27,11,8,11,8,6,5,10,14,11,51,8,35,28,26,7,8,6,9,5,6,6,10,5,7,7,10,6,12,4,18,3,7,43,46,4,14,6,20,6,26,9,17,14,4,3,11,4,14,9,10,19,5,24,13,7,7,10,7,8,30
"153.861780936455 x 468.55037625418",6,14,10,5,8,10,8,12,10,4,17,4,9,4,3,4,2,4,3,2,2,1,1,2,2,4,3,2,5,21,2,6,6,34,10,12,27,9,6,27,7,4,6,4,4,4,7,5,8,2,15,19,3,24,3,7,6,9,9,4,14,2,9,3,3,4,8,12,2,12,8,7,64,5,0,10,11,6,12,13,5,0,12,2,10,3,8,12,23,37,10,17,8,12,5,5,4,3,10,2,0,6,8,2,5,2,9,6,3,9,3,4,35,27,11,5,2,23,3,37,2,7,8,5,9,10,4,8,4,5,10,4,12,5,10,1,3,3,8,14
"161.382080291971 x 445.977974452555",6,2,4,0,2,4,3,2,4,1,7,7,3,1,3,1,3,1,3,0,3,2,5,1,4,0,2,1,6,4,0,7,5,19,3,7,12,1,2,7,4,6,3,3,1,2,9,3,1,5,4,3,3,5,0,5,5,3,7,3,4,7,7,2,6,2,3,4,2,4,0,2,52,0,1,3,2,0,3,6,3,1,6,5,5,1,2,3,3,7,2,2,2,3,2,5,1,4,0,1,1,7,4,3,2,0,3,2,1,5,4,4,6,13,3,4,2,12,2,4,1,4,4,10,4,2,1,4,4,3,9,0,4,2,5,2,6,3,3,4
"162.46160110421 x 326.109585921325",12,8,14,3,9,14,9,11,26,7,17,3,4,6,4,7,8,6,6,5,4,5,6,6,6,0,10,6,13,12,5,13,7,38,9,20,20,4,11,10,10,3,20,7,5,4,17,3,7,5,9,23,4,21,2,11,3,13,6,8,22,5,9,7,7,5,5,7,3,14,15,9,63,8,6,14,20,6,5,15,5,5,6,9,12,2,10,9,10,52,8,36,22,20,10,11,7,6,8,3,4,5,8,4,2,8,4,8,6,14,4,10,31,22,10,5,2,53,5,27,1,8,15,8,10,9,4,6,5,3,15,6,13,6,8,1,6,4,14,14
"163.074003759399 x 357.400404135338",3,7,4,7,6,12,8,6,7,8,27,1,7,3,13,3,4,2,3,2,4,4,5,2,5,3,5,7,15,17,2,7,4,14,6,15,25,6,3,14,5,2,9,4,2,6,14,4,3,4,4,15,2,4,0,9,7,7,8,8,7,1,4,1,8,6,7,7,11,7,5,9,29,5,1,9,16,2,6,15,7,3,5,9,16,2,6,10,7,16,6,16,6,9,4,9,6,5,7,6,4,3,3,1,4,5,9,9,2,15,7,6,30,30,2,7,3,31,4,27,0,8,14,4,5,13,4,9,5,8,11,5,18,6,3,1,2,7,11,4
"176.505778301887 x 502.583879716981",3,22,11,4,9,15,17,8,12,7,30,10,13,4,7,6,3,6,7,5,8,9,6,6,5,2,12,8,14,26,2,7,5,41,12,17,41,8,23,29,18,11,24,7,6,9,32,7,13,4,4,36,9,25,4,12,9,10,14,4,14,12,4,9,6,1,14,6,10,15,16,16,66,9,4,10,18,3,9,18,8,7,9,10,7,8,8,21,7,32,14,30,22,17,3,10,8,6,10,5,2,5,7,2,3,7,9,6,5,17,9,9,37,33,8,7,5,29,4,41,1,9,14,4,7,19,9,16,7,16,11,7,29,11,9,8,4,5,15,10
"178.968802931596 x 422.936848534202",6,9,2,5,11,11,12,11,10,4,22,7,9,8,7,2,3,6,7,6,5,6,6,5,6,2,1,5,10,18,4,3,10,15,8,19,13,3,11,20,7,5,8,3,5,6,14,6,4,2,7,18,6,26,2,10,7,6,11,8,19,2,8,5,6,8,1,8,7,6,7,12,52,10,2,10,17,4,1,11,5,2,6,5,6,2,6,11,12,44,5,28,11,4,5,9,8,4,7,1,6,10,8,5,1,4,3,8,5,9,4,5,35,18,3,8,3,60,5,25,1,8,9,6,4,9,7,6,8,6,9,4,17,6,7,4,6,2,9,9
"184.77330898466 x 463.27723155588",9,9,6,4,11,12,10,5,17,2,17,9,7,4,5,8,8,3,3,2,3,7,3,6,8,3,5,9,8,15,4,7,10,28,12,18,21,6,13,27,14,5,11,7,5,6,19,8,6,5,7,27,8,35,5,10,7,7,12,8,21,3,5,4,9,5,6,5,13,8,12,8,53,9,1,4,14,6,8,10,4,3,15,10,10,3,9,17,10,33,4,21,8,9,5,6,4,11,9,5,2,2,6,4,3,4,8,11,9,11,5,6,31,21,5,6,5,48,8,34,6,12,11,13,4,8,8,12,7,9,16,4,9,4,3,4,5,4,13,12
"188.723877551021 x 389.412384044527",8,19,21,14,17,14,13,3,16,14,33,8,23,11,11,13,7,14,5,5,5,12,10,11,6,5,8,10,14,30,3,7,13,36,6,28,40,9,23,32,12,6,18,15,11,9,36,9,5,7,13,34,7,42,4,13,13,10,17,8,19,9,8,6,7,6,15,1,12,17,14,24,80,14,2,18,27,7,8,17,11,6,8,9,12,6,13,24,19,62,19,41,23,14,6,17,12,12,20,8,7,3,11,1,1,9,8,15,9,29,12,12,79,75,5,8,4,78,10,37,9,12,12,8,8,3,9,12,7,11,26,7,26,7,11,10,7,6,19,14
"191.387787218323 x 309.728404137422",15,19,22,9,12,19,18,13,30,11,20,8,13,8,14,17,7,8,7,5,5,12,14,11,10,8,8,20,17,29,6,20,16,97,19,44,69,15,21,34,16,9,25,16,9,12,31,9,19,14,14,26,17,30,6,25,12,13,18,9,22,16,11,10,11,18,14,13,19,17,11,23,172,10,5,12,40,13,9,31,12,7,12,14,29,7,20,22,19,54,6,40,37,25,12,16,14,22,22,8,8,10,9,3,3,16,15,23,14,39,15,10,59,73,10,10,10,22,12,61,6,27,23,8,12,24,14,24,10,12,32,7,25,9,19,12,15,11,23,17
"197.809166666667 x 361.011466666667",8,11,12,6,12,15,10,6,9,9,21,10,12,5,11,5,4,4,5,3,3,5,7,3,1,2,3,9,10,24,3,4,8,38,14,16,42,5,17,21,12,10,15,6,9,11,17,9,11,4,13,14,6,24,1,12,9,10,13,6,21,5,8,2,8,5,9,9,11,9,13,12,34,10,1,10,22,9,12,16,15,2,1,4,7,5,8,10,13,46,7,31,11,11,6,11,6,9,9,4,4,5,2,3,5,7,5,6,9,13,4,4,30,35,3,6,5,74,7,26,8,7,11,8,2,13,9,9,5,5,17,4,22,8,12,6,6,5,13,10
"1.07529730434783 x 197.85590445518",9,22,13,10,9,23,14,12,14,10,18,7,12,11,6,16,1,5,3,4,4,4,13,4,2,6,7,16,18,26,7,15,8,27,9,20,18,13,12,25,12,9,15,9,4,10,23,7,7,2,11,55,8,21,9,18,6,16,16,11,13,3,6,9,10,8,9,6,8,16,15,15,71,12,3,14,35,13,4,19,10,5,8,4,14,7,9,21,14,48,7,36,14,18,8,9,3,7,10,2,6,9,11,2,9,12,9,25,5,25,12,17,64,25,15,8,10,16,11,40,3,17,7,5,3,17,12,21,9,12,21,5,27,13,16,11,8,4,17,19
"8.61336201646791 x 139.109948892675",3,7,9,11,17,13,15,10,24,7,22,6,8,4,3,10,3,11,5,5,4,2,7,9,4,4,6,12,6,17,8,17,6,22,17,18,27,17,15,21,13,9,17,17,12,7,16,4,11,5,9,37,9,18,6,19,4,14,19,9,6,2,11,7,9,4,17,13,7,18,3,23,63,6,6,9,22,5,14,15,6,7,7,9,16,8,9,22,15,45,5,34,17,16,13,8,10,9,7,8,9,9,11,7,10,14,6,17,6,28,7,11,50,35,9,7,3,19,9,41,3,13,12,4,13,11,6,18,9,8,19,4,33,13,18,8,5,9,18,11
"13.1789922422052 x 271.621680976051",24,18,18,10,19,21,16,7,25,3,36,8,19,16,20,16,3,7,5,4,5,4,13,7,4,8,6,21,13,17,5,30,4,42,26,16,27,16,16,28,15,18,21,12,4,5,30,12,13,5,9,41,12,28,7,24,13,14,16,11,12,11,10,10,11,11,12,9,9,14,19,12,86,8,6,21,27,9,21,19,3,7,11,10,17,12,10,21,15,53,12,32,26,14,10,9,5,10,15,10,10,6,7,5,11,14,8,17,11,32,14,9,75,24,19,14,8,65,15,39,6,17,21,6,8,11,7,22,4,13,12,5,35,19,14,7,7,8,20,16
"42.7859849126523 x 204.239436209635",20,21,35,12,20,49,31,17,52,14,50,10,38,13,21,28,7,8,8,10,6,6,15,16,5,7,6,30,19,48,9,34,12,128,25,32,82,18,40,54,21,21,34,28,8,10,79,19,20,13,20,77,8,55,11,31,10,21,31,18,22,19,11,11,10,10,17,17,17,43,28,28,146,12,11,28,39,8,27,36,16,14,21,15,26,14,12,35,27,74,24,76,38,26,15,18,8,10,23,10,16,7,16,13,21,23,10,15,9,50,17,27,107,96,27,10,20,80,9,102,10,25,37,4,25,16,12,49,9,19,34,15,64,33,21,15,17,10,30,25
"38.9354513006655 x 154.071258318209",4,14,17,4,10,21,20,9,19,4,10,8,11,7,7,11,3,4,3,4,2,4,6,10,6,4,9,11,11,13,5,12,5,24,15,20,18,7,6,16,14,5,13,16,4,7,40,10,11,6,10,13,7,31,6,11,5,13,12,7,12,13,7,5,9,16,12,10,5,20,21,12,115,14,5,13,15,10,7,20,11,8,14,5,12,7,9,18,7,37,10,20,10,10,8,6,11,5,5,3,11,6,4,5,3,14,8,11,4,17,0,6,26,41,12,13,6,17,16,21,1,14,15,2,4,7,5,17,4,11,21,8,19,16,21,9,7,11,14,14
"47.9044938858695 x 123.765855978261",12,15,20,10,11,21,13,13,19,4,15,8,12,12,9,4,1,2,5,3,2,3,1,5,2,4,9,15,6,15,3,8,4,8,9,10,13,10,24,19,8,1,15,10,4,8,34,6,7,5,7,27,4,26,15,20,9,17,14,10,6,6,7,5,6,6,11,6,6,12,12,16,59,11,0,11,17,9,10,13,6,4,10,5,9,7,6,15,24,31,7,21,27,21,9,13,7,9,8,6,4,7,6,5,6,4,9,6,9,14,9,13,33,8,11,11,2,14,8,24,3,11,9,6,10,8,5,15,3,5,11,4,16,4,12,8,8,7,15,9
"45.9875651408451 x 101.174041373239",14,2,10,5,11,7,11,10,9,1,7,6,13,8,8,7,1,7,6,3,4,1,8,4,3,2,5,7,4,22,0,10,0,3,10,19,4,6,19,9,11,4,10,1,3,5,12,3,5,4,7,23,8,19,7,11,5,8,9,5,9,10,6,11,4,5,8,4,7,4,5,5,108,7,5,3,11,6,6,10,5,1,10,4,14,5,6,7,12,21,6,14,14,10,6,6,6,4,12,2,6,8,1,6,3,7,3,12,3,11,4,2,28,17,10,5,6,9,3,15,3,7,6,3,5,8,6,16,3,1,14,7,9,12,5,4,6,6,8,3
"51.3212995367987 x 236.038636129696",18,8,22,6,12,18,16,8,29,4,18,5,12,4,6,16,2,5,7,2,3,1,7,11,5,5,6,13,12,31,8,14,5,51,16,20,28,10,19,30,8,9,11,11,4,1,29,15,5,7,8,51,6,26,4,17,7,8,13,8,13,10,12,7,7,8,8,8,14,14,16,21,74,10,5,22,33,7,12,11,4,5,7,8,31,7,7,10,11,45,8,47,26,27,5,2,12,5,13,6,13,4,10,2,8,13,4,14,6,31,13,12,41,38,17,17,11,45,9,40,6,13,23,3,13,13,3,18,8,8,15,11,30,11,9,11,9,9,11,12
"64.2170746822035 x 258.093977754238",18,8,16,6,12,14,14,12,28,3,24,9,13,7,19,11,1,8,4,5,3,2,5,9,1,4,6,12,7,26,5,21,8,42,16,12,28,8,22,20,14,7,16,12,7,6,35,10,12,4,10,47,4,29,13,13,7,13,17,14,15,12,4,4,12,12,14,8,8,11,10,17,94,11,3,18,32,9,7,23,5,6,12,9,21,10,9,15,14,42,9,33,27,11,7,8,8,5,9,3,9,10,4,8,9,13,8,8,6,28,5,11,35,36,9,13,7,29,9,41,4,14,29,4,9,13,4,24,6,7,14,10,27,15,4,6,5,8,16,5
"67.9881179906541 x 145.672184579439",4,4,10,3,3,6,5,6,12,2,7,3,2,3,7,6,2,3,3,2,2,3,4,0,2,3,4,8,7,8,3,5,3,4,1,9,7,3,5,11,7,5,13,3,3,1,15,3,4,0,7,11,0,9,6,10,3,7,5,5,12,4,6,1,6,5,7,12,4,3,5,9,84,6,1,7,9,4,5,6,2,5,7,6,7,5,1,13,12,13,7,17,3,6,2,6,2,1,6,3,0,2,1,3,5,10,3,8,3,13,3,5,16,22,3,7,4,5,4,6,6,2,6,2,5,8,2,7,1,2,5,4,15,12,1,4,10,3,7,9
"80.2317404371586 x 295.456116803278",8,24,31,17,20,27,21,10,26,9,28,9,33,10,14,17,9,12,4,6,9,6,11,10,7,10,14,34,20,47,8,16,6,64,24,37,24,13,24,45,16,11,22,16,9,16,49,26,20,13,14,40,6,53,17,22,7,23,22,16,16,9,8,13,13,14,14,14,13,27,21,24,121,35,10,25,32,12,19,26,4,13,24,17,22,13,13,24,21,61,15,59,40,16,17,15,13,6,17,15,9,9,10,5,11,16,14,23,9,44,14,27,49,77,17,16,9,78,19,59,9,18,27,14,11,18,9,35,7,16,19,11,37,19,16,20,10,10,21,13
"85.7570659411011 x 172.366562099872",9,8,17,3,5,15,16,2,30,3,12,6,11,14,4,10,0,3,2,3,3,2,8,7,2,4,5,19,9,21,4,14,6,30,14,10,23,14,11,31,9,10,10,15,4,3,23,12,12,4,7,32,11,15,8,24,7,12,5,4,21,8,6,3,12,10,9,9,10,11,10,16,49,8,2,17,27,7,12,16,4,2,10,2,9,7,2,16,20,54,9,26,12,12,7,12,6,4,19,3,10,3,8,6,5,10,3,8,4,15,11,4,36,19,9,14,5,12,7,32,2,17,24,2,1,11,2,21,2,9,15,15,23,7,7,8,5,4,12,18
"82.988697313433 x 109.917989850746",12,11,9,4,7,16,6,7,25,2,18,4,6,6,11,6,1,5,3,4,1,3,10,9,2,3,8,12,5,33,7,15,7,34,10,11,11,18,10,24,10,5,14,16,8,4,23,11,14,5,7,29,8,25,9,17,6,17,12,12,18,13,12,6,8,8,5,13,4,14,10,15,83,6,4,13,19,8,9,11,5,4,15,10,14,6,3,19,11,42,8,25,22,10,14,15,7,5,11,6,13,4,8,3,4,7,7,5,4,25,10,10,43,34,15,10,5,41,8,48,2,10,17,6,6,8,3,15,4,9,26,10,25,10,6,4,4,7,11,9
"92.7205765217391 x 220.778326086957",8,14,16,7,15,34,9,5,24,7,28,4,14,5,24,22,1,5,3,3,6,2,3,13,6,5,5,29,16,26,6,14,7,104,16,19,56,18,21,28,11,12,26,11,5,11,31,14,9,7,7,34,4,25,5,21,4,22,16,6,15,8,11,12,8,8,12,15,9,18,11,12,120,14,2,23,27,6,11,24,7,6,18,14,24,7,5,18,20,60,13,47,26,14,10,13,9,3,11,7,13,8,3,9,11,22,8,10,11,43,12,17,45,53,18,15,10,41,9,51,7,13,20,4,9,6,6,26,7,18,29,13,27,13,14,5,12,7,19,9
"99.9640205209157 x 140.186692975533",10,10,10,4,11,10,6,2,11,2,11,2,2,6,16,16,5,5,4,2,2,4,5,5,3,7,4,17,5,25,7,8,9,17,9,12,5,7,4,17,11,5,17,5,1,1,22,6,5,2,2,21,5,22,5,8,6,7,9,5,15,9,8,5,6,6,7,8,7,10,9,14,42,19,3,10,25,6,10,13,3,0,6,4,11,5,0,13,9,24,7,17,7,16,5,10,6,9,4,6,10,3,4,5,7,6,4,8,8,32,8,13,22,22,11,10,2,11,5,38,4,6,11,7,5,8,6,21,3,6,14,5,29,6,10,6,1,3,8,3
